""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"G00038 (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"nLc5Cer(G00051) (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"type II B antigen (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"G00057 (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"type III H glycolipid (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"G00073 (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"G00074 (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"iso-nLc8Cer (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"monofucosyllactoisooctaosylceramide (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"G00079 (C_c)"	0.343882624261115	0	0.359389387087639	0.327828225889838	0.327828225889838	0.000470366886171214	0.00044404973357016	0.000938967136150235	0.00066006600660066	0.00066006600660066
"se-adenosyl-L-selenohomocysteine (C_c)"	0.346420903419792	0.123805260793076	0	0.117965244352347	0.117965244352347	0.000467726847521048	0.000540248514316586	0.000475511174512601	0.000473709142586452	0.000473709142586452
"glucosamine-6-phosphate (C_c)"	0.344851957009905	0.132880322673004	0	0.0686540228646696	0.0686540228646696	0.000467508181393174	0.000553709856035437	0.000475511174512601	0.000406173842404549	0.000406173842404549
"triiodothyronine (C_s)"	0.344851957009905	0.0854453014823664	0	0.212234988516784	0.212234988516784	0.000467508181393174	0.000558659217877095	0.000475511174512601	0.000574382538770821	0.000574382538770821
"valine (C_m)"	0.342255943752624	0	0.358297895172191	0.326702560240364	0.326702560240364	0.000467071461933676	0.00044404973357016	0.000925925925925926	0.000630914826498423	0.000630914826498423
"leucine (C_m)"	0.342255943752624	0	0.358297895172191	0.326702560240364	0.326702560240364	0.000467071461933676	0.00044404973357016	0.000925925925925926	0.000630914826498423	0.000630914826498423
"isoleucine (C_m)"	0.342255943752624	0	0.358297895172191	0.326702560240364	0.326702560240364	0.000467071461933676	0.00044404973357016	0.000925925925925926	0.000630914826498423	0.000630914826498423
"dTTP (C_c)"	0.346420903419792	0.201066361342851	0	0.062542291526446	0.062542291526446	0.000466417910447761	0.000814332247557003	0.000475511174512601	0.00043271311120727	0.00043271311120727
"EPA (C_c)"	0.376719689675519	0	0.339893778276756	0.572611277266749	0.572611277266749	0.000466200466200466	0.00044404973357016	0.000832639467110741	0.000849617672047579	0.000849617672047579
"K+ (C_c)"	0.345044160983701	0.329568590639394	0	0.0754726165409666	0.0754726165409666	0.000465983224603914	0.000920810313075506	0.000475511174512601	0.000426257459505541	0.000426257459505541
