""	"neglog10_reporter-p_Non-directional"	"neglog10_reporter-p_Distinct-directional (up)"	"neglog10_reporter-p_Distinct-directional (dn)"	"neglog10_reporter-p_Mixed-directional (up)"	"neglog10_reporter-p_Mixed-directional (dn)"	"inv_ConsRank_Non-directional"	"inv_ConsRank_Distinct-directional (up)"	"inv_ConsRank_Distinct-directional (dn)"	"inv_ConsRank_Mixed-directional (up)"	"inv_ConsRank_Mixed-directional (dn)"
"hypochlorite (C_c)"	0.769832183653808	0	0.616795228851352	1.35917086913861	1.35917086913861	0.00078740157480315	0.000407166123778502	0.00088809946714032	0.00574712643678161	0.00574712643678161
"nitrite (C_c)"	0.769832183653808	0	0.616795228851352	1.35917086913861	1.35917086913861	0.00078740157480315	0.000407166123778502	0.00088809946714032	0.00574712643678161	0.00574712643678161
"nitryl-chloride (C_c)"	0.769832183653808	0	0.616795228851352	1.35917086913861	1.35917086913861	0.00078740157480315	0.000407166123778502	0.00088809946714032	0.00574712643678161	0.00574712643678161
"SAM (C_c)"	0.693810949599574	0.116066151801915	0	0.354381261757305	0.354381261757305	0.000784929356357928	0.000550357732526142	0.000556792873051225	0.000798084596967279	0.000798084596967279
"palmitate (C_r)"	0.845332622377425	0.486076911675506	0	0.3194378784499	0.3194378784499	0.000784929356357928	0.00101112234580384	0.000542005420054201	0.000647668393782383	0.000647668393782383
"UDP-galactose (C_c)"	0.834043812797013	0.77715352002585	0	0.17659750707386	0.17659750707386	0.000783699059561128	0.00284900284900285	0.000542005420054201	0.00041101520756268	0.00041101520756268
"Fe2+ (C_s)"	0.694885191964605	1.10611068613733	0	0.0306120474182465	0.0306120474182465	0.000783085356303837	0.00680272108843537	0.000542005420054201	0.00033478406427854	0.00033478406427854
"noradrenaline (C_c)"	0.645718646150272	0	0.270608399292016	0.232918378636678	0.232918378636678	0.000782472613458529	0.000391389432485323	0.00105485232067511	0.000657030223390276	0.000657030223390276
"valine (C_c)"	0.740645072691966	0.538816728735412	0	0.28061070045265	0.28061070045265	0.000781860828772478	0.00099502487562189	0.000542005420054201	0.000585823081429408	0.000585823081429408
"1-acylglycerol-3P-LD-TG1 pool (C_c)"	0.740645072691966	0.220591118304125	0	0.335705975391548	0.335705975391548	0.000781860828772478	0.000791765637371338	0.000542005420054201	0.00065402223675605	0.00065402223675605
"inosine (C_s)"	0.573147292964631	0	0.690305970434158	0.428943682023725	0.428943682023725	0.00078064012490242	0.000391389432485323	0.0018348623853211	0.00109649122807018	0.00109649122807018
"glucose-1-phosphate (C_c)"	0.710634048479968	0	0.0649615414871084	0.42428116209846	0.42428116209846	0.00078003120124805	0.000407166123778502	0.000828500414250207	0.00115340253748558	0.00115340253748558
"coproporphyrinogen I (C_c)"	0.736884923818659	0	0.906438242434711	1.22337144657985	1.22337144657985	0.000779423226812159	0.000391389432485323	0.00187617260787992	0.00274725274725275	0.00274725274725275
"uroporphyrinogen I (C_c)"	0.736884923818659	0	0.906438242434711	1.22337144657985	1.22337144657985	0.000779423226812159	0.000391389432485323	0.00187617260787992	0.00274725274725275	0.00274725274725275
"citrate (C_m)"	0.737382818461426	0	0.981008405294389	0.592541109542608	0.592541109542608	0.000778210116731518	0.000391389432485323	0.00231481481481481	0.00121065375302663	0.00121065375302663
"4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol (C_c)"	0.737382818461426	0	1.29316278177456	1.22337144657985	1.22337144657985	0.000778210116731518	0.000391389432485323	0.00227790432801822	0.00274725274725275	0.00274725274725275
"4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol (C_c)"	0.737382818461426	0	1.29316278177456	1.22337144657985	1.22337144657985	0.000778210116731518	0.000391389432485323	0.00227790432801822	0.00274725274725275	0.00274725274725275
"GDP (C_s)"	0.736719085703378	0.111741857023203	0	0.483914356975709	0.483914356975709	0.00077639751552795	0.000582750582750583	0.000542005420054201	0.00104384133611691	0.00104384133611691
"beta-alanine (C_c)"	0.737382818461426	0	0.758677697111227	0.951869072971033	0.951869072971033	0.000775795190069822	0.000391389432485323	0.00153139356814701	0.00245700245700246	0.00245700245700246
"3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA (C_p)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA (C_p)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"18,20-dioxo-20-CoA-LTB4 (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"18,20-dioxo-20-CoA-LTB4 (C_p)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA (C_p)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-8(R)-hydroxy-hexadeca-(6E,10Z)-dienoate (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-8(S)-hydroxy-hexadeca-(6E,10Z)-dienoate (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-6(S)-hydroxy-tetradec-(8Z)-enoate (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-4(R),8-dimethyl-nonanoyl-CoA (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-(2S)-methylisocapryloyl-CoA (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"3-oxo-4-methyl-pentanoyl-CoA (C_m)"	0.732007409634418	0	1.76215477313839	0.808129984555278	0.808129984555278	0.000775193798449612	0.000391389432485323	0.00403225806451613	0.00180831826401447	0.00180831826401447
"(2E)-eicosenoyl-CoA (C_c)"	0.48938797421083	0	0.439961790511463	0.766572349332555	0.766572349332555	0.000766283524904215	0.000391389432485323	0.00134408602150538	0.00170940170940171	0.00170940170940171
"chondroitin sulfate A (GalNAc4S-GlcA) and B (IdoA2S-GalNAc4S), precursor 3 (C_g)"	0.648861041418151	0.573082286119184	0	0.154542264982383	0.154542264982383	0.000765696784073507	0.00225733634311512	0.000542005420054201	0.000396510705789056	0.000396510705789056
"stearate (C_r)"	0.818556604458102	0.412749384143442	0	0.218294877203039	0.218294877203039	0.000765110941086458	0.000755857898715042	0.000542005420054201	0.000520562207183758	0.000520562207183758
"arginine (C_s)"	0.687082518883631	0.205518924415749	0	0.517655320422202	0.517655320422202	0.000765110941086458	0.000535618639528656	0.000542005420054201	0.00105932203389831	0.00105932203389831
"inositol (C_s)"	0.73090754425957	0.538816728735412	0	0.145347875353921	0.145347875353921	0.000763941940412529	0.00102986611740474	0.000542005420054201	0.000396667988893296	0.000396667988893296
"cholesterol-ester pool (C_s)"	0.716359611199632	0	0.0618757228262381	0.544880935321598	0.544880935321598	0.000763358778625954	0.000421052631578947	0.000636132315521629	0.00119617224880383	0.00119617224880383
"oxalate (C_s)"	0.71428520341709	0.784838491705125	0			0.0007627765064836	0.00291545189504373	0.000542005420054201	0.000305343511450382	0.000305343511450382
"FADH2 (C_c)"	0.710634048479968	0	0.0649615414871084	0.354381261757305	0.354381261757305	0.00076219512195122	0.000391389432485323	0.000906618313689937	0.000841750841750842	0.000841750841750842
